year,Ethiopia | gdp_growth_pct,Ethiopia | private_consumption_growth_pct,Ethiopia | unemployment_total_pct,Ethiopia | unemployment_youth_pct,Kenya | gdp_growth_pct,Kenya | private_consumption_growth_pct,Kenya | unemployment_total_pct,Kenya | unemployment_youth_pct,Rwanda | gdp_growth_pct,Rwanda | private_consumption_growth_pct,Rwanda | unemployment_total_pct,Rwanda | unemployment_youth_pct,Tanzania | gdp_growth_pct,Tanzania | private_consumption_growth_pct,Tanzania | unemployment_total_pct,Tanzania | unemployment_youth_pct
1982,0.916013856738402,,,,1.50647825757706,3.15880930039198,,,1.8108464472071,-2.77492179953153,,,-0.367659678144776,,,
1983,8.23500571913669,,,,1.3090502411486,-3.25741215350349,,,5.98034993449889,14.7489806638966,,,-0.391629233338236,,,
1984,-2.84802145221462,,,,1.75521697703473,7.93172271524189,,,-4.24077327763513,-13.4270470737488,,,4.6729720643193,,,
1985,-11.1443529779264,,,,4.30056181879613,-6.82066839073163,,,4.40274833269658,-2.26111915863011,,,1.24490401004924,,,
1986,9.66161236122211,,,,7.17755539065963,19.0137861970057,,,5.47213748768883,12.5863929351657,,,5.49571344557758,,,
1987,13.8593303949744,,,,5.93710744420895,8.67383456064914,,,-0.0240361088553129,-5.05439499652519,,,4.7965198054257,,,
1988,0.503674879297719,,,,6.20318382314591,8.49098922214506,,,4.49882499325926,10.4389698328438,,,7.25543546092405,,,
1989,-0.361044179752284,,,,4.69034876792047,5.93595767624568,,,-0.0365342731879821,0.578002273376072,,,3.76444340906087,,,
1990,2.72645178272684,,,,4.19205097155167,-0.290250118056193,,,-2.39929109760386,-1.19667884875025,,,7.04507164205259,,,
1991,-7.13747971659305,,3.284,4.701,1.43834679171559,2.40269907080346,2.78,6.209,-2.5143796537652,11.2401802915031,12.335,16.413,2.07198821361914,1.96782591651825,3.6,6.29
1992,-8.6724801143672,,3.416,4.822,-0.799493958641349,-1.02025957192564,2.894,6.465,5.87272524148186,1.24631779028847,12.114,16.16,0.584322131924068,0.150951802276822,3.683,6.365
1993,13.1428339363255,,3.252,4.674,0.353197256227247,-1.5438654662327,2.979,6.667,-8.1086918809961,-4.85561813553974,12.155,16.191,1.20580080875436,1.81478033572526,3.892,6.615
1994,3.18996458331273,,3.1,4.531,2.632784517837,1.82241565755825,2.955,6.67,-50.2480671038988,-21.5754464050022,12.236,16.039,1.56766176421846,1.60752669070983,3.861,6.575
