year,country,indicator,value
1978,Rwanda,gdp_growth_pct,9.15084081575202
1979,Rwanda,gdp_growth_pct,11.8699080379505
1980,Rwanda,gdp_growth_pct,8.95161232959185
1981,Rwanda,gdp_growth_pct,5.43619947877278
1982,Rwanda,gdp_growth_pct,1.8108464472071
1983,Rwanda,gdp_growth_pct,5.98034993449889
1984,Rwanda,gdp_growth_pct,-4.24077327763513
1985,Rwanda,gdp_growth_pct,4.40274833269658
1986,Rwanda,gdp_growth_pct,5.47213748768883
1987,Rwanda,gdp_growth_pct,-0.0240361088553129
1988,Rwanda,gdp_growth_pct,4.49882499325926
1989,Rwanda,gdp_growth_pct,-0.0365342731879821
1990,Rwanda,gdp_growth_pct,-2.39929109760386
1991,Rwanda,gdp_growth_pct,-2.5143796537652
1992,Rwanda,gdp_growth_pct,5.87272524148186
1993,Rwanda,gdp_growth_pct,-8.1086918809961
1994,Rwanda,gdp_growth_pct,-50.2480671038988
1995,Rwanda,gdp_growth_pct,35.2240783089712
1996,Rwanda,gdp_growth_pct,12.7456957645316
1997,Rwanda,gdp_growth_pct,13.8497524857822
1998,Rwanda,gdp_growth_pct,8.85866949392693
1999,Rwanda,gdp_growth_pct,4.35188831936337
2000,Rwanda,gdp_growth_pct,8.37089593548548
2001,Rwanda,gdp_growth_pct,8.4845603416011
2002,Rwanda,gdp_growth_pct,13.1920736254262
2003,Rwanda,gdp_growth_pct,2.20238751139603
2004,Rwanda,gdp_growth_pct,7.44766737034072
2005,Rwanda,gdp_growth_pct,9.3778991673686
2006,Rwanda,gdp_growth_pct,9.22707576798881
2007,Rwanda,gdp_growth_pct,7.63329819125276
