year,indicator,value
2012,unemployment_youth_pct,6.945
2013,unemployment_youth_pct,7.183
2014,unemployment_youth_pct,7.253
2015,unemployment_youth_pct,7.299
2016,unemployment_youth_pct,7.333
2017,unemployment_youth_pct,9.097
2018,unemployment_youth_pct,10.818
2019,unemployment_youth_pct,12.547
2020,unemployment_youth_pct,13.619
2021,unemployment_youth_pct,12.232
2022,unemployment_youth_pct,15.488
2023,unemployment_youth_pct,15.164
2024,unemployment_youth_pct,15.477
