date,household_stress_index,digital_spend_index,jobs_interest_index,unga,maize flour,fuel price,rent,loan,internet bundles,safaricom bundles,smartphone price,laptop price,jobs in kenya,vacancies,BrighterMonday
2025-09-28,13.989637305699482,28.971962616822427,28.57142857142857,11,5,6,13,69,0,46,0,64,51,42,1
2025-10-05,18.13471502590673,18.69158878504673,33.673469387755105,10,5,5,15,77,0,39,0,60,54,44,1
2025-10-12,13.471502590673579,17.75700934579439,17.34693877551021,7,4,6,14,72,0,44,0,54,51,31,1
2025-10-19,10.880829015544045,24.299065420560748,10.20408163265306,5,4,6,14,69,0,47,0,58,46,29,1
2025-10-26,17.098445595854923,42.05607476635514,18.367346938775512,9,5,5,17,74,0,40,10,74,51,32,1
2025-11-02,18.13471502590673,43.925233644859816,11.224489795918371,7,5,7,18,75,0,47,0,79,50,27,0
2025-11-09,22.797927461139896,68.22429906542055,21.42857142857143,9,6,8,18,80,0,41,20,91,52,34,1
2025-11-16,19.17098445595855,70.09345794392523,18.367346938775512,6,5,9,19,75,0,38,16,100,50,34,0
2025-11-23,16.580310880829018,100.0,23.469387755102048,6,6,8,17,72,0,65,26,95,49,39,1
2025-11-30,17.616580310880824,93.45794392523365,18.367346938775512,6,4,9,18,74,0,79,23,77,49,35,0
2025-12-07,16.580310880829018,76.63551401869158,12.244897959183675,6,5,8,17,73,0,61,19,81,47,31,0
2025-12-14,16.06217616580311,50.467289719626166,16.3265306122449,7,4,10,17,70,0,44,18,71,46,36,0
2025-12-21,10.880829015544045,25.233644859813083,0.0,7,4,6,13,68,0,52,0,54,37,29,0
2025-12-28,17.098445595854923,56.074766355140184,15.306122448979592,4,9,6,15,76,0,55,11,73,46,35,0
2026-01-04,13.989637305699482,16.822429906542055,37.75510204081633,6,4,7,15,72,0,38,0,59,58,44,1
2026-01-11,18.652849740932645,10.2803738317757,50.000000000000014,5,4,6,16,82,0,33,5,52,62,52,1
2026-01-18,21.24352331606218,28.971962616822427,44.897959183673464,6,4,6,16,86,0,37,6,67,60,49,1
2026-01-25,7.253886010362691,11.214953271028037,13.265306122448978,5,3,4,14,65,0,31,5,55,45,33,1
