date,household_stress_index,digital_spend_index,jobs_interest_index,unga,maize flour,fuel price,rent,loan,internet bundles,safaricom bundles,smartphone price,laptop price,jobs in kenya,vacancies,BrighterMonday
2023-03-12,17.098445595854923,24.299065420560748,59.18367346938776,9,6,9,16,70,0,43,0,62,74,49,1
2023-03-19,17.098445595854923,28.971962616822427,59.18367346938776,11,6,6,19,68,0,50,0,60,73,50,1
2023-03-26,16.06217616580311,50.467289719626166,58.163265306122454,9,6,6,18,69,0,60,9,64,74,48,1
2023-04-02,12.953367875647665,28.037383177570092,46.938775510204096,8,6,5,16,67,0,53,0,56,70,42,0
2023-04-09,16.580310880829018,48.598130841121495,56.122448979591844,10,5,8,16,70,0,60,15,56,76,44,1
2023-04-16,25.388601036269424,33.64485981308411,54.08163265306122,26,11,5,16,68,0,55,11,49,72,47,0
2023-04-23,15.025906735751294,56.074766355140184,47.95918367346938,12,7,5,16,66,0,71,8,60,73,40,0
2023-04-30,10.880829015544045,62.616822429906534,64.28571428571429,8,5,5,17,63,0,73,13,60,76,52,1
2023-05-07,20.725388601036265,36.44859813084112,82.6530612244898,9,6,6,17,79,0,53,9,56,86,60,1
2023-05-14,23.316062176165797,26.168224299065418,69.38775510204081,9,5,14,17,77,0,50,0,57,83,50,1
2023-05-21,22.797927461139896,56.074766355140184,72.44897959183673,10,7,6,18,80,0,57,10,72,89,47,1
2023-05-28,21.24352331606218,69.1588785046729,65.30612244897961,9,6,6,18,79,0,57,17,79,82,47,1
2023-06-04,20.725388601036265,37.38317757009346,75.51020408163265,12,6,6,18,75,0,58,0,61,86,53,1
2023-06-11,23.316062176165797,49.532710280373834,80.6122448979592,10,6,12,18,76,0,65,0,67,91,53,1
2023-06-18,22.797927461139896,73.83177570093457,76.53061224489797,7,5,10,20,79,0,84,10,64,88,52,1
2023-06-25,24.352331606217618,79.43925233644859,58.163265306122454,8,5,16,19,76,0,92,0,72,80,42,1
